:ID,:START_ID,:END_ID,:TYPE,importance:Double
e_0000050,d_acid_reflux,s_fatigue,CAUSES,0.009
e_0000051,d_acid_reflux,s_cramping,CAUSES,0.009
e_0000052,d_acid_reflux,s_lethargy,CAUSES,0.008
e_0000053,d_acid_reflux,s_headache,CAUSES,0.006
e_0000054,d_acid_reflux,s_sharp_pain,CAUSES,0.006
e_0000055,d_acid_reflux,s_lump,CAUSES,0.005
e_0000056,d_acid_reflux,s_dry_cough,CAUSES,0.005
e_0000057,d_acid_reflux,s_abdominal_discomfort,CAUSES,0.005
e_0000058,d_acid_reflux,s_malnutrition,CAUSES,0.005
e_0000059,d_acid_reflux,s_weight_loss,CAUSES,0.005
e_0000060,d_acid_reflux,s_bone_loss,CAUSES,0.004
e_0000061,d_acute_renal_failure,s_kidney_failure,CAUSES,0.127
e_0000062,d_acute_renal_failure,s_weakness,CAUSES,0.087
e_0000063,d_acute_renal_failure,s_diarrhea,CAUSES,0.062
e_0000064,d_acute_renal_failure,s_lethargy,CAUSES,0.058
e_0000065,d_acute_renal_failure,s_low_blood_pressure,CAUSES,0.053
e_0000066,d_acute_renal_failure,s_dehydration,CAUSES,0.048
e_0000067,d_acute_renal_failure,s_vomiting,CAUSES,0.044
e_0000068,d_acute_renal_failure,s_nausea,CAUSES,0.041
e_0000069,d_acute_renal_failure,s_fatigue,CAUSES,0.033
e_0000070,d_acute_renal_failure,s_confusion,CAUSES,0.029
e_0000071,d_acute_renal_failure,s_mental_confusion,CAUSES,0.022
e_0000072,d_acute_renal_failure,s_dizziness,CAUSES,0.021
e_0000073,d_acute_renal_failure,s_malaise,CAUSES,0.014
e_0000074,d_acute_renal_failure,s_weight_loss,CAUSES,0.012
e_0000075,d_acute_renal_failure,s_urinary_retention,CAUSES,0.01
e_0000076,d_acute_renal_failure,s_shortness_of_breath,CAUSES,0.009
e_0000077,d_acute_renal_failure,s_blood_in_urine,CAUSES,0.009
e_0000078,d_alcohol_intoxication,s_slurred_speech,CAUSES,0.071
e_0000079,d_alcohol_intoxication,s_vomiting,CAUSES,0.064
e_0000080,d_alcohol_intoxication,s_unsteady_gait,CAUSES,0.056
e_0000081,d_alcohol_intoxication,s_depression,CAUSES,0.034
e_0000082,d_alcohol_intoxication,s_sadness,CAUSES,0.034
e_0000083,d_alcohol_intoxication,s_confusion,CAUSES,0.029
e_0000084,d_alcohol_intoxication,s_falling,CAUSES,0.025
e_0000085,d_alcohol_intoxication,s_thoughts_of_suicide,CAUSES,0.019
e_0000086,d_alcohol_intoxication,s_wandering_and_getting_lost,CAUSES,0.018
e_0000087,d_alcohol_intoxication,s_agitation,CAUSES,0.017
e_0000088,d_alcohol_intoxication,s_crying,CAUSES,0.015
e_0000089,d_alcohol_intoxication,s_screaming,CAUSES,0.015
e_0000090,d_alcohol_intoxication,s_seizures,CAUSES,0.013
e_0000091,d_alcohol_intoxication,s_fainting,CAUSES,0.013
e_0000092,d_alcohol_intoxication,s_bruising,CAUSES,0.01
e_0000093,d_alcohol_intoxication,s_substance_abuse,CAUSES,0.007
e_0000094,d_alcohol_intoxication,s_tremor,CAUSES,0.005
e_0000095,d_alcohol_intoxication,s_rapid_involuntary_eye_movement,CAUSES,0.005
e_0000096,d_alcohol_intoxication,s_difficulty_walking,CAUSES,0.005
e_0000097,d_alcohol_intoxication,s_snoring,CAUSES,0.005
e_0000098,d_alcohol_intoxication,s_fast_heart_rate,CAUSES,0.004
e_0000099,d_alcohol_intoxication,s_problems_with_coordination,CAUSES,0.004
e_0000100,d_alcohol_intoxication,s_leaking_of_urine,CAUSES,0.002
e_0000101,d_alcohol_intoxication,s_hunger,CAUSES,0.002
e_0000102,d_alcohol_intoxication,s_low_oxygen_in_the_body,CAUSES,0.002
e_0000103,d_alcohol_intoxication,s_aggression,CAUSES,0.002
e_0000104,d_alcoholism,s_seizures,CAUSES,0.125
e_0000105,d_alcoholism,s_depression,CAUSES,0.09
e_0000106,d_alcoholism,s_sadness,CAUSES,0.09
e_0000107,d_alcoholism,s_slurred_speech,CAUSES,0.061
e_0000108,d_alcoholism,s_anxiety,CAUSES,0.048
e_0000109,d_alcoholism,s_unsteady_gait,CAUSES,0.03
e_0000110,d_alcoholism,s_fast_heart_rate,CAUSES,0.028
e_0000111,d_alcoholism,s_tremor,CAUSES,0.027
e_0000112,d_alcoholism,s_thoughts_of_suicide,CAUSES,0.023
e_0000113,d_alcoholism,s_agitation,CAUSES,0.016
e_0000114,d_alcoholism,s_substance_abuse,CAUSES,0.015
e_0000115,d_alcoholism,s_confusion,CAUSES,0.012
e_0000116,d_alcoholism,s_visual_hallucinations,CAUSES,0.012
e_0000117,d_alcoholism,s_shakiness,CAUSES,0.011
e_0000118,d_alcoholism,s_falling,CAUSES,0.009
e_0000119,d_alcoholism,s_vomiting,CAUSES,0.008
e_0000120,d_alcoholism,s_headache,CAUSES,0.008
e_0000121,d_alcoholism,s_screaming,CAUSES,0.007
e_0000122,d_alcoholism,s_vomiting_blood,CAUSES,0.006
e_0000123,d_alcoholism,s_hearing_voices,CAUSES,0.005
e_0000124,d_alcoholism,s_rapid_involuntary_eye_movement,CAUSES,0.004
e_0000125,d_alcoholism,s_delirium,CAUSES,0.004
e_0000126,d_alcoholism,s_sweating,CAUSES,0.004
e_0000127,d_alcoholism,s_leg_pain,CAUSES,0.004
e_0000128,d_alcoholism,s_wandering_and_getting_lost,CAUSES,0.004
e_0000129,d_alcoholism,s_mental_confusion,CAUSES,0.004
e_0000130,d_alzheimer_s_disease,s_confusion,CAUSES,0.071
e_0000131,d_alzheimer_s_disease,s_mental_confusion,CAUSES,0.057
e_0000132,d_alzheimer_s_disease,s_fainting,CAUSES,0.028
e_0000133,d_alzheimer_s_disease,s_lethargy,CAUSES,0.026
e_0000134,d_alzheimer_s_disease,s_weakness,CAUSES,0.025
e_0000135,d_alzheimer_s_disease,s_agitation,CAUSES,0.025
e_0000136,d_alzheimer_s_disease,s_bruising,CAUSES,0.018
e_0000137,d_alzheimer_s_disease,s_depression,CAUSES,0.014
e_0000138,d_alzheimer_s_disease,s_sadness,CAUSES,0.014
e_0000139,d_alzheimer_s_disease,s_leaking_of_urine,CAUSES,0.014
e_0000140,d_alzheimer_s_disease,s_falling,CAUSES,0.013
e_0000141,d_alzheimer_s_disease,s_seizures,CAUSES,0.01
e_0000142,d_alzheimer_s_disease,s_hip_pain,CAUSES,0.01
e_0000143,d_alzheimer_s_disease,s_unsteady_gait,CAUSES,0.009
e_0000144,d_alzheimer_s_disease,s_aggression,CAUSES,0.007
e_0000145,d_alzheimer_s_disease,s_sleepiness,CAUSES,0.007
e_0000146,d_alzheimer_s_disease,s_leg_pain,CAUSES,0.007
e_0000147,d_alzheimer_s_disease,s_wandering_and_getting_lost,CAUSES,0.007
e_0000148,d_alzheimer_s_disease,s_failure_to_thrive,CAUSES,0.006
e_0000149,d_alzheimer_s_disease,s_drooping_of_upper_eyelid,CAUSES,0.006
e_0000150,d_alzheimer_s_disease,s_memory_loss,CAUSES,0.006
e_0000151,d_alzheimer_s_disease,s_slow_heart_rate,CAUSES,0.006
e_0000152,d_alzheimer_s_disease,s_malnutrition,CAUSES,0.005
e_0000153,d_alzheimer_s_disease,s_coughing,CAUSES,0.005
e_0000154,d_alzheimer_s_disease,s_weight_loss,CAUSES,0.005
e_0000155,d_alzheimer_s_disease,s_low_blood_pressure,CAUSES,0.005
e_0000156,d_alzheimer_s_disease,s_abnormality_walking,CAUSES,0.005
e_0000157,d_anaphylaxis,s_swelling,CAUSES,0.154
e_0000158,d_anaphylaxis,s_shortness_of_breath,CAUSES,0.099
e_0000159,d_anaphylaxis,s_itching,CAUSES,0.084
e_0000160,d_anaphylaxis,s_wheezing,CAUSES,0.082
e_0000161,d_anaphylaxis,s_redness,CAUSES,0.076
e_0000162,d_anaphylaxis,s_skin_rash,CAUSES,0.072
e_0000163,d_anaphylaxis,s_facial_swelling,CAUSES,0.053
e_0000164,d_anaphylaxis,s_tongue_swelling,CAUSES,0.048
e_0000165,d_anaphylaxis,s_difficulty_breathing,CAUSES,0.044
e_0000166,d_anaphylaxis,s_swelling_under_the_skin,CAUSES,0.044
e_0000167,d_anaphylaxis,s_difficulty_swallowing,CAUSES,0.044
e_0000168,d_anaphylaxis,s_anxiety,CAUSES,0.036
e_0000169,d_anaphylaxis,s_noisy_breathing,CAUSES,0.032
e_0000170,d_anaphylaxis,s_chest_tightness,CAUSES,0.029
e_0000171,d_anaphylaxis,s_diarrhea,CAUSES,0.029
e_0000172,d_anaphylaxis,s_fainting,CAUSES,0.024
e_0000173,d_anaphylaxis,s_nausea,CAUSES,0.024
e_0000174,d_anaphylaxis,s_fast_heart_rate,CAUSES,0.02
e_0000175,d_anaphylaxis,s_seizures,CAUSES,0.02
e_0000176,d_anaphylaxis,s_difficulty_speaking,CAUSES,0.016
e_0000177,d_anaphylaxis,s_abdominal_pain,CAUSES,0.014
e_0000178,d_anaphylaxis,s_flushing,CAUSES,0.014
e_0000179,d_anaphylaxis,s_crying,CAUSES,0.014
e_0000180,d_anaphylaxis,s_respiratory_distress,CAUSES,0.013
e_0000181,d_anaphylaxis,s_hoarseness,CAUSES,0.013
e_0000182,d_anaphylaxis,s_itchy_eyes,CAUSES,0.013
e_0000183,d_anaphylaxis,s_low_blood_pressure,CAUSES,0.013
e_0000184,d_anaphylaxis,s_acute_episodes,CAUSES,0.012
e_0000185,d_anaphylaxis,s_infection,CAUSES,0.011
e_0000186,d_anaphylaxis,s_fatigue,CAUSES,0.01
e_0000187,d_anaphylaxis,s_dry_mouth,CAUSES,0.01
e_0000188,d_anaphylaxis,s_chest_discomfort,CAUSES,0.01
e_0000189,d_anaphylaxis,s_flank_pain,CAUSES,0.009
e_0000190,d_anaphylaxis,s_joint_pain,CAUSES,0.008
e_0000191,d_anaphylaxis,s_malnutrition,CAUSES,0.008
e_0000192,d_anaphylaxis,s_impaired_voice,CAUSES,0.008
e_0000193,d_anemia,s_lethargy,CAUSES,0.096
e_0000194,d_anemia,s_weakness,CAUSES,0.087
e_0000195,d_anemia,s_fatigue,CAUSES,0.086
e_0000196,d_anemia,s_shortness_of_breath,CAUSES,0.052
e_0000197,d_anemia,s_dizziness,CAUSES,0.047
e_0000198,d_anemia,s_bleeding,CAUSES,0.046
e_0000199,d_anemia,s_lightheadedness,CAUSES,0.027
e_0000200,d_anemia,s_malnutrition,CAUSES,0.025
e_0000201,d_anemia,s_nausea,CAUSES,0.024
e_0000202,d_anemia,s_sadness,CAUSES,0.024
e_0000203,d_anemia,s_diarrhea,CAUSES,0.024
e_0000204,d_anemia,s_depression,CAUSES,0.024
e_0000205,d_anemia,s_fainting,CAUSES,0.02
e_0000206,d_anemia,s_low_blood_pressure,CAUSES,0.02
e_0000207,d_anemia,s_constipation,CAUSES,0.019
e_0000208,d_anemia,s_infection,CAUSES,0.017
e_0000209,d_anemia,s_abdominal_pain,CAUSES,0.014
e_0000210,d_anemia,s_kidney_failure,CAUSES,0.014
e_0000211,d_anemia,s_dehydration,CAUSES,0.013
e_0000212,d_anemia,s_vaginal_bleeding,CAUSES,0.011
e_0000213,d_anemia,s_dark_stool_from_digested_blood,CAUSES,0.01
e_0000214,d_anemia,s_racing_heartbeat,CAUSES,0.01
e_0000215,d_aneurysm,s_headache,CAUSES,0.128
e_0000216,d_aneurysm,s_dizziness,CAUSES,0.047
e_0000217,d_aneurysm,s_pain,CAUSES,0.047
e_0000218,d_aneurysm,s_nausea,CAUSES,0.046
e_0000219,d_aneurysm,s_weakness,CAUSES,0.037
e_0000220,d_aneurysm,s_back_pain,CAUSES,0.028
e_0000221,d_aneurysm,s_neck_pain,CAUSES,0.02
e_0000222,d_aneurysm,s_vertigo,CAUSES,0.018
e_0000223,d_aneurysm,s_fainting,CAUSES,0.016
e_0000224,d_aneurysm,s_numbness,CAUSES,0.015
e_0000225,d_aneurysm,s_blurred_vision,CAUSES,0.014
e_0000226,d_aneurysm,s_lightheadedness,CAUSES,0.014
e_0000227,d_aneurysm,s_severe_headache,CAUSES,0.013
e_0000228,d_aneurysm,s_seizures,CAUSES,0.011
e_0000229,d_aneurysm,s_ache,CAUSES,0.011
e_0000230,d_aneurysm,s_drooping_of_upper_eyelid,CAUSES,0.009
e_0000231,d_angina,s_pain,CAUSES,0.352
e_0000232,d_angina,s_shortness_of_breath,CAUSES,0.154
e_0000233,d_angina,s_chest_pressure,CAUSES,0.077
e_0000234,d_angina,s_nausea,CAUSES,0.075
e_0000235,d_angina,s_coughing,CAUSES,0.06
e_0000236,d_angina,s_chest_discomfort,CAUSES,0.041
e_0000237,d_angina,s_racing_heartbeat,CAUSES,0.039
e_0000238,d_angina,s_chest_tightness,CAUSES,0.035
e_0000239,d_angina,s_dizziness,CAUSES,0.031
e_0000240,d_angina,s_anxiety,CAUSES,0.029
e_0000241,d_angina,s_lightheadedness,CAUSES,0.022
e_0000242,d_angina,s_headache,CAUSES,0.021
e_0000243,d_angina,s_discomfort,CAUSES,0.021
e_0000244,d_angina,s_back_pain,CAUSES,0.02
e_0000245,d_angina,s_arm_pain,CAUSES,0.02
e_0000246,d_angina,s_cough_with_phlegm,CAUSES,0.015
e_0000247,d_angina,s_numbness,CAUSES,0.014
e_0000248,d_angina,s_chest_pain_worsened_by_breathing,CAUSES,0.014
e_0000249,d_angina,s_fatigue,CAUSES,0.013
e_0000250,d_angina,s_depression,CAUSES,0.012
e_0000251,d_angina,s_fast_heart_rate,CAUSES,0.012
e_0000252,d_angina,s_sadness,CAUSES,0.012
e_0000253,d_angina,s_sharp_pain,CAUSES,0.012
e_0000254,d_angina,s_pain_in_upper_abdomen,CAUSES,0.012
e_0000255,d_angina,s_lethargy,CAUSES,0.011
e_0000256,d_angina,s_indigestion,CAUSES,0.01
e_0000257,d_angina,s_fainting,CAUSES,0.01
e_0000258,d_angina,s_chills,CAUSES,0.009
e_0000259,d_aphasia,s_problems_with_coordination,CAUSES,0.318
e_0000260,d_aphasia,s_weakness,CAUSES,0.181
e_0000261,d_aphasia,s_confusion,CAUSES,0.106
e_0000262,d_aphasia,s_mental_confusion,CAUSES,0.088
e_0000263,d_aphasia,s_slurred_speech,CAUSES,0.074
e_0000264,d_aphasia,s_numbness,CAUSES,0.071
e_0000265,d_aphasia,s_headache,CAUSES,0.049
e_0000266,d_aphasia,s_seizures,CAUSES,0.045
e_0000267,d_aphasia,s_weakness_of_one_side_of_the_body,CAUSES,0.042
e_0000268,d_aphasia,s_difficulty_speaking,CAUSES,0.034
e_0000269,d_aphasia,s_blurred_vision,CAUSES,0.018
e_0000270,d_aphasia,s_malnutrition,CAUSES,0.017
e_0000271,d_appendicitis,s_pain,CAUSES,0.881
e_0000272,d_appendicitis,s_nausea,CAUSES,0.401
e_0000273,d_appendicitis,s_abdominal_pain,CAUSES,0.361
e_0000274,d_appendicitis,s_tenderness,CAUSES,0.163
e_0000275,d_appendicitis,s_chills,CAUSES,0.152
e_0000276,d_appendicitis,s_diarrhea,CAUSES,0.124
e_0000277,d_appendicitis,s_vomiting,CAUSES,0.118
e_0000278,d_appendicitis,s_fever,CAUSES,0.096
e_0000279,d_appendicitis,s_loss_of_appetite,CAUSES,0.068
e_0000280,d_appendicitis,s_lower_abdominal_pain,CAUSES,0.04
e_0000281,d_appendicitis,s_cramping,CAUSES,0.037
e_0000282,d_appendicitis,s_constipation,CAUSES,0.036
e_0000283,d_appendicitis,s_discomfort,CAUSES,0.033
e_0000284,d_appendicitis,s_cyst,CAUSES,0.03
e_0000285,d_appendicitis,s_pain_in_right_lower_abdomen,CAUSES,0.029
e_0000286,d_appendicitis,s_sharp_pain,CAUSES,0.023
e_0000287,d_appendicitis,s_pain_during_urination,CAUSES,0.022
e_0000288,d_appendicitis,s_pain_in_upper_abdomen,CAUSES,0.02
e_0000289,d_appendicitis,s_pelvic_pain,CAUSES,0.017
e_0000290,d_appendicitis,s_flank_pain,CAUSES,0.016
e_0000291,d_appendicitis,s_vaginal_discharge,CAUSES,0.013
e_0000292,d_appendicitis,s_abdominal_discomfort,CAUSES,0.013
e_0000293,d_appendicitis,s_dull_pain,CAUSES,0.012
e_0000294,d_appendicitis,s_infection,CAUSES,0.011
e_0000295,d_arrhythmia,s_slow_heart_rate,CAUSES,0.176
e_0000296,d_arrhythmia,s_racing_heartbeat,CAUSES,0.154
e_0000297,d_arrhythmia,s_fainting,CAUSES,0.113
e_0000298,d_arrhythmia,s_fast_heart_rate,CAUSES,0.112
e_0000299,d_arrhythmia,s_dizziness,CAUSES,0.089
e_0000300,d_arrhythmia,s_lightheadedness,CAUSES,0.068
e_0000301,d_arrhythmia,s_shortness_of_breath,CAUSES,0.045
e_0000302,d_arrhythmia,s_low_blood_pressure,CAUSES,0.035
e_0000303,d_arrhythmia,s_weakness,CAUSES,0.035
e_0000304,d_arrhythmia,s_lethargy,CAUSES,0.032
e_0000305,d_arrhythmia,s_chest_pressure,CAUSES,0.027
e_0000306,d_arrhythmia,s_fatigue,CAUSES,0.026
e_0000307,d_arrhythmia,s_chest_discomfort,CAUSES,0.012
e_0000308,d_arrhythmia,s_chest_tightness,CAUSES,0.012
e_0000309,d_arrhythmia,s_feeling_tired,CAUSES,0.007
e_0000310,d_arrhythmia,s_dehydration,CAUSES,0.007
e_0000311,d_arthritis,s_pain,CAUSES,0.406
e_0000312,d_arthritis,s_knee_pain,CAUSES,0.098
e_0000313,d_arthritis,s_swelling,CAUSES,0.092
e_0000314,d_arthritis,s_hip_pain,CAUSES,0.041
e_0000315,d_arthritis,s_shoulder_pain,CAUSES,0.037
e_0000316,d_arthritis,s_back_pain,CAUSES,0.03
e_0000317,d_arthritis,s_leg_pain,CAUSES,0.029
e_0000318,d_arthritis,s_neck_pain,CAUSES,0.024
e_0000319,d_arthritis,s_infection,CAUSES,0.022
e_0000320,d_arthritis,s_tenderness,CAUSES,0.022
e_0000321,d_arthritis,s_redness,CAUSES,0.019
e_0000322,d_arthritis,s_joint_pain,CAUSES,0.018
e_0000323,d_arthritis,s_arm_pain,CAUSES,0.017
e_0000324,d_arthritis,s_foot_pain,CAUSES,0.012
e_0000325,d_arthritis,s_discomfort,CAUSES,0.012
e_0000326,d_arthritis,s_weakness,CAUSES,0.011
e_0000327,d_arthritis,s_depression,CAUSES,0.011
e_0000328,d_arthritis,s_sadness,CAUSES,0.011
e_0000329,d_arthritis,s_hand_pain,CAUSES,0.01
e_0000330,d_arthritis,s_acute_episodes,CAUSES,0.008
e_0000331,d_arthritis,s_chronic_back_pain,CAUSES,0.008
e_0000332,d_arthritis,s_wrist_pain,CAUSES,0.008
e_0000333,d_arthritis,s_numbness,CAUSES,0.007
e_0000334,d_arthritis,s_severe_pain,CAUSES,0.007
e_0000335,d_arthritis,s_diarrhea,CAUSES,0.007
e_0000336,d_arthritis,s_stiffness,CAUSES,0.006
e_0000337,d_arthritis,s_difficulty_walking,CAUSES,0.006
e_0000338,d_arthritis,s_sharp_pain,CAUSES,0.006
e_0000339,d_arthritis,s_cyst,CAUSES,0.006
e_0000340,d_arthritis,s_swollen_joint,CAUSES,0.006
e_0000341,d_arthritis,s_ankle_pain,CAUSES,0.006
e_0000342,d_arthritis,s_elbow_pain,CAUSES,0.005
e_0000343,d_asthma,s_coughing,CAUSES,0.242
e_0000344,d_asthma,s_wheezing,CAUSES,0.173
e_0000345,d_asthma,s_shortness_of_breath,CAUSES,0.134
e_0000346,d_asthma,s_cough_with_phlegm,CAUSES,0.076
e_0000347,d_asthma,s_chest_tightness,CAUSES,0.06
e_0000348,d_asthma,s_chills,CAUSES,0.046
e_0000349,d_asthma,s_acute_episodes,CAUSES,0.044
e_0000350,d_asthma,s_fever,CAUSES,0.039
e_0000351,d_asthma,s_dry_cough,CAUSES,0.032
e_0000352,d_asthma,s_anxiety,CAUSES,0.022
e_0000353,d_asthma,s_depression,CAUSES,0.021
e_0000354,d_asthma,s_sadness,CAUSES,0.021
e_0000355,d_asthma,s_sore_throat,CAUSES,0.02
e_0000356,d_asthma,s_difficulty_breathing,CAUSES,0.019
e_0000357,d_asthma,s_nasal_congestion,CAUSES,0.014
e_0000358,d_asthma,s_headache,CAUSES,0.01
e_0000359,d_asthma,s_fast_heart_rate,CAUSES,0.009
e_0000360,d_asthma,s_phlegm,CAUSES,0.009
e_0000361,d_asthma,s_chest_discomfort,CAUSES,0.008
e_0000362,d_asthma,s_chest_pressure,CAUSES,0.008
e_0000363,d_asthma,s_runny_nose,CAUSES,0.007
e_0000364,d_asthma,s_fatigue,CAUSES,0.007
e_0000365,d_asthma,s_back_pain,CAUSES,0.006
e_0000366,d_asthma,s_fast_breathing,CAUSES,0.005
e_0000367,d_asthma,s_malaise,CAUSES,0.005
e_0000368,d_asthma,s_racing_heartbeat,CAUSES,0.005
e_0000369,d_asthma,s_lethargy,CAUSES,0.005
e_0000370,d_atopic_dermatitis,s_skin_rash,CAUSES,0.232
e_0000371,d_atopic_dermatitis,s_itching,CAUSES,0.103
e_0000372,d_atopic_dermatitis,s_redness,CAUSES,0.061
e_0000373,d_atopic_dermatitis,s_anxiety,CAUSES,0.041
e_0000374,d_atopic_dermatitis,s_infection,CAUSES,0.038
e_0000375,d_atopic_dermatitis,s_dry_skin,CAUSES,0.034
e_0000376,d_atopic_dermatitis,s_lesion,CAUSES,0.034
e_0000377,d_atopic_dermatitis,s_swelling,CAUSES,0.033
e_0000378,d_atopic_dermatitis,s_chills,CAUSES,0.022
e_0000379,d_atopic_dermatitis,s_acute_episodes,CAUSES,0.021
e_0000380,d_atopic_dermatitis,s_sadness,CAUSES,0.018
e_0000381,d_atopic_dermatitis,s_depression,CAUSES,0.018
e_0000382,d_atopic_dermatitis,s_insomnia,CAUSES,0.018
e_0000383,d_atopic_dermatitis,s_coughing,CAUSES,0.016
e_0000384,d_atopic_dermatitis,s_headache,CAUSES,0.016
e_0000385,d_atrial_fibrillation,s_racing_heartbeat,CAUSES,0.066
e_0000386,d_atrial_fibrillation,s_weakness,CAUSES,0.042
e_0000387,d_atrial_fibrillation,s_fast_heart_rate,CAUSES,0.035
e_0000388,d_atrial_fibrillation,s_shortness_of_breath,CAUSES,0.034
e_0000389,d_atrial_fibrillation,s_dizziness,CAUSES,0.028
e_0000390,d_atrial_fibrillation,s_low_blood_pressure,CAUSES,0.023
e_0000391,d_atrial_fibrillation,s_fainting,CAUSES,0.021
e_0000392,d_atrial_fibrillation,s_lethargy,CAUSES,0.018
e_0000393,d_atrial_fibrillation,s_lightheadedness,CAUSES,0.017
e_0000394,d_atrial_fibrillation,s_chest_pressure,CAUSES,0.013
e_0000395,d_atrial_fibrillation,s_fatigue,CAUSES,0.013
e_0000396,d_atrial_fibrillation,s_confusion,CAUSES,0.011
e_0000397,d_atrial_fibrillation,s_mental_confusion,CAUSES,0.01
e_0000398,d_atrial_fibrillation,s_slow_heart_rate,CAUSES,0.01
e_0000399,d_atrial_fibrillation,s_coughing,CAUSES,0.008
e_0000400,d_atrial_fibrillation,s_chest_discomfort,CAUSES,0.008
e_0000401,d_atrial_fibrillation,s_bruising,CAUSES,0.008
e_0000402,d_bed_bug_bite,s_skin_rash,CAUSES,0.329
e_0000403,d_bed_bug_bite,s_itching,CAUSES,0.173
e_0000404,d_bed_bug_bite,s_anxiety,CAUSES,0.048
e_0000405,d_bed_bug_bite,s_infection,CAUSES,0.029
e_0000406,d_bed_bug_bite,s_sadness,CAUSES,0.026
e_0000407,d_bed_bug_bite,s_depression,CAUSES,0.026
e_0000408,d_bed_bug_bite,s_red_spots,CAUSES,0.018
e_0000409,d_bed_bug_bite,s_skin_irritation,CAUSES,0.018
e_0000410,d_bed_bug_bite,s_sweating,CAUSES,0.016
e_0000411,d_bed_bug_bite,s_eye_pain,CAUSES,0.015
e_0000412,d_bed_bug_bite,s_lesion,CAUSES,0.012
e_0000413,d_bed_bug_bite,s_substance_abuse,CAUSES,0.011
e_0000414,d_bed_bug_bite,s_hallucination,CAUSES,0.009
e_0000415,d_bed_bug_bite,s_swollen_feet,CAUSES,0.009
e_0000416,d_bed_bug_bite,s_skin_lesion,CAUSES,0.009
e_0000417,d_bed_bug_bite,s_brief_visual_or_sensory_abnormality,CAUSES,0.009
e_0000418,d_bell_s_palsy,s_numbness,CAUSES,0.308
e_0000419,d_bell_s_palsy,s_weakness,CAUSES,0.198
e_0000420,d_bell_s_palsy,s_headache,CAUSES,0.134
e_0000421,d_bell_s_palsy,s_facial_paralysis,CAUSES,0.071
e_0000422,d_bell_s_palsy,s_ear_pain,CAUSES,0.052
e_0000423,d_bell_s_palsy,s_slurred_speech,CAUSES,0.051
e_0000424,d_bell_s_palsy,s_paralysis,CAUSES,0.046
